id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
84	Blade: Trinity	2004	R	08 Dec 2004	113 min	Action, Adventure, Fantasy	David S. Goyer	David S. Goyer, Marv Wolfman (character), Gene Colan (character)	Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel	Blade finds himself alone surrounded by enemies, fighting an up hill battle with the vampire nation and now humans. He joins forces with a group of vampire hunters whom call themselves the Nightstalkers. The vampire nation awakens the king of vampires Dracula from his slumber with intentions of using his primitive blood to become day-walkers. On the other side is Blade and his team manifesting a virus that could wipe out the vampire race once and for all. In the end the two sides will collide and only one will come out victorious, a battle between the ultimate vampire whom never knew defeat, facing off against the greatest vampire slayer.	English, Esperanto	USA	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTc3Nzk1MTYyMV5BMl5BanBnXkFtZTcwNzQyMzYyMQ@@._V1_SX300.jpg	38	5.9	115291	tt0359013	26	rotten	4.4	164	42	122	The latest Blade flick is getting a little long in the tooth; critics call it bloodless, dull, rusty, and an assortment of other puns.	59	3.4	437137	26 Apr 2005	$52.4M	New Line Cinema	http://bladetrinity.com/
85	Blade	1998	R	21 Aug 1998	120 min	Action, Horror	Stephen Norrington	David S. Goyer	Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright	In a world where vampires walk the earth, Blade has a goal. His goal is to rid the world of all vampire evil. When Blade witnesses a vampire bite Dr. Karen Jenson, he fights away the beast and takes Jenson back to his hideout. Here, alongside Abraham Whistler, Blade attempts to help heal Jenson. The vampire Quinn who was attacked by Blade, reports back to his master Deacon Frost, who is planning a huge surprise for the human population.	English, Russian	USA	4 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ4MzkzNjcxNV5BMl5BanBnXkFtZTcwNzk4NTU0Mg@@._V1_SX300.jpg	45	7.1	166301	tt0120611	55	rotten	5.7	85	47	38	Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.	78	3.6	497942	22 Dec 1998	N/A	New Line Cinema	N/A
86	Blast from the Past	1999	PG-13	12 Feb 1999	112 min	Comedy, Drama, Romance	Hugh Wilson	Bill Kelly (story), Bill Kelly (screenplay), Hugh Wilson (screenplay)	Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek	Adam Weber is the child of an eccentric inventor and his wife. Following a bomb scare in the 1960s that locked the Webers in their bomb shelter for 35 years, Adam Weber must venture out into Los Angeles and obtain food and supplies for his family. He meets Eve, who reluctantly agrees to help him out.	English, French, German, Latin	USA	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMjE5Mzg5NzMwM15BMl5BanBnXkFtZTYwMDQyOTc5._V1_SX300.jpg	48	6.5	43892	tt0124298	58	rotten	6.1	79	46	33	Cute idea, but not consistently funny.	56	2.9	214235	26 Dec 2001	N/A	New Line Home Entertainment	N/A
87	Blood Simple	2007	N/A	N/A	41 min	Short, Drama	Seung-hyun Kim	N/A	Seong-il An, Han-cheol Cho, In-young Joo	Yeon-ho lives with his brother in the house their parents left them when they passed away. One day, his sister Mi-ja who has had a troublesome relationship with her husband leaves her son to Yeon-ho and disappears. Suddenly left to care for his nephew, he desperately looks for Mi-ja, but fails to find her. Things get worse as his brother turns rebellious and moves out of the house.	Korean	South Korea	1 win.	N/A	N/A	N/A	N/A	tt4226410	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
88	Blow	2001	R	06 Apr 2001	124 min	Biography, Crime, Drama	Ted Demme	Bruce Porter (book), David McKenna (screenplay), Nick Cassavetes (screenplay)	Johnny Depp, Penlope Cruz, Franka Potente, Rachel Griffiths	A boy named George Jung grows up in a struggling family in the 1950's. His mother nags at her husband as he is trying to make a living for the family. It is finally revealed that George's father cannot make a living and the family goes bankrupt. George does not want the same thing to happen to him, and his friend Tuna, in the 1960's, suggests that he deal marijuana. He is a big hit in California in the 1960's, yet he goes to jail, where he finds out about the wonders of cocaine. As a result, when released, he gets rich by bringing cocaine to America. However, he soon pays the price.	English	USA	1 win & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ5ODQwNzIxNV5BMl5BanBnXkFtZTYwNzAyMDE3._V1_SX300.jpg	52	7.6	176186	tt0221027	55	rotten	5.8	136	75	61	With elements that seem borrowed from movies like Goodfellas and Boogie Nights, Blow is pretty much been-there-done-that despite another excellent performance from Johnny Depp. It, also, becomes too sentimental at the end.	87	3.8	383132	11 Sep 2001	$52.8M	New Line Cinema	http://www.getsomeblow.com
89	Blue Valentine	2010	NC-17	27 Dec 2010	112 min	Drama, Romance	Derek Cianfrance	Derek Cianfrance, Joey Curtis, Cami Delavigne	Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman	Dean Pereira and Cindy Heller Pereira are a young, working class married couple - Dean currently working as a painter, and Cindy working as a nurse in a medical clinic - with a young daughter named Frankie. Despite their relatively tender ages, they are both ravaged by the life they've eked out together and by the experiences they've had leading into their marriage. Dean, a high school drop out, comes from a broken home, where he never really had a mother figure. He never saw himself getting married or having a family despite falling in love at first sight with Cindy. He doesn't have any professional ambition beyond his current work - which he enjoys since he feels he can knock off a beer at 8 o'clock in the morning without it affecting his work - although Cindy believes he has so much more potential in life. Cindy also comes from a dysfunctional family, with her own mother and father not setting an example of a harmonious married or family life. One of her previous serious relationships was with Bobby Ontario, that relationship which has a profound affect on many aspects of her marriage to Dean. Dean and Cindy head off on an overnight getaway together without Frankie, the getaway which may provide a clearer picture if their marriage can survive its many issues.	English	USA	Nominated for 1 Oscar. Another 7 wins & 45 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU4MTQ2MzA1Ml5BMl5BanBnXkFtZTcwODE3NTgwNA@@._V1_SX300.jpg	81	7.4	125079	tt1120985	87	certified	7.8	191	167	24	This emotionally gripping examination of a marriage on the rocks isn't always easy to watch, but Michelle Williams and Ryan Gosling give performances of unusual depth and power.	76	3.7	57109	10 May 2011	$9.7M	Weinstein Company	http://bluevalentinemovie.com/
90	Blue Velvet	1986	R	30 Oct 1986	120 min	Crime, Drama, Mystery	David Lynch	David Lynch (screenplay)	Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern	College student Jeffrey Beaumont returns to his idyllic hometown of Lumberton to manage his father's hardware store while his father is hospitalized. Walking though a grassy meadow near the family home, Jeffrey finds a severed human ear. After an initial investigation, lead police Detective John Williams advises Jeffrey not to speak to anyone about the case as they investigate further. Detective Williams also tells Jeffrey that he cannot divulge any information about what the police know. Detective Williams' high school aged daughter, Sandy Williams, tells Jeffrey what she knows about the case from overhearing her father's private conversations on the matter: that it has to do with a nightclub singer named Dorothy Vallens, who lives in an older apartment building near the Beaumont home. His curiosity getting the better of him, Jeffrey, with Sandy's help, decides to find out more about the woman at the center of the case by breaking into Dorothy's apartment while he knows she's at work. What Jeffrey finds is a world unfamiliar to him, one that he doesn't truly understand but one that he is unable to deny the lure of despite the inherent dangers of being associated with a possible murder. Still, he is torn between this world and the prospect of a relationship with Sandy, the two who are falling for each other, despite Sandy already being in a relationship with Mike, the school's star football player.	English	USA	Nominated for 1 Oscar. Another 23 wins & 11 nominations.	http://ia.media-imdb.com/images/M/MV5BMTczNjE4NTQwNF5BMl5BanBnXkFtZTgwODI3Mjc1MDE@._V1_SX300.jpg	75	7.8	114399	tt0090756	93	certified	8.7	60	56	4	If audiences walk away from this subversive, surreal shocker not fully understanding the story, they might also walk away with a deeper perception of the potential of film storytelling.	89	4	74530	04 Feb 1999	N/A	MGM	N/A
91	Bodies, Rest & Motion	1993	R	09 Apr 1993	95 min	Drama	Michael Steinberg	Roger Hedden (play), Roger Hedden (screenplay)	Phoebe Cates, Bridget Fonda, Tim Roth, Eric Stoltz	Nick is a feckless television salesman who gets fired and impulsively decides that he and his girlfriend, Beth, will move to Butte, MT, which he's read is 'the city of the future.' 'I read that a while ago, so the future should be there by now,' he enthuses. He waits until the last moment to tell Carol, his ex and Beth's best friend, about the move. While Nick is working his last day, Sid comes to the couple's house to paint it for the next tenants. He quickly develops an interest in Beth. He, Beth, and Carol get stoned and hang out. When Sid hears about the move, he tells Beth that he's never left Enfield, and has no interest in traveling. Meanwhile, Nick decides to take off on his own. When Beth gets word of this from Carol, she finds solace in Sid's arms. Sid proclaims his love the next morning, and implores Beth to stay. Meanwhile, Nick visits his childhood home, looking for his parents, has an epiphany, and decides to return to Carol.	English	USA	1 win & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BNTQ4Mzg0NDkzNl5BMl5BanBnXkFtZTcwMzA2NTcyMQ@@._V1_SX300.jpg	N/A	5.5	1892	tt0106447	52	rotten	4.9	29	15	14	N/A	50	3	1517	24 Jun 2003	N/A	Sony Pictures Home Entertainment	N/A
92	Body Heat	1981	R	18 Sep 1981	113 min	Crime, Drama, Thriller	Lawrence Kasdan	Lawrence Kasdan	William Hurt, Kathleen Turner, Richard Crenna, Ted Danson	Ned Racine is a seedy small town lawyer in Florida. During a searing heatwave he's picked up by married Matty Walker. A passionate affair commences but it isn't long before they realise the only thing standing in their way is Matty's rich husband Edmund. A plot hatches to kill him but will they pull it off?	English	USA	Nominated for 1 Golden Globe. Another 1 win & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTEwMjA1NjkzMDdeQTJeQWpwZ15BbWU3MDY0MDYxMjE@._V1_SX300.jpg	78	7.4	20849	tt0082089	97	fresh	8	36	35	1	N/A	80	3.6	9832	18 Nov 1997	N/A	Warner Home Video	N/A
93	Body of Evidence	1993	R	15 Jan 1993	99 min	Drama, Romance, Thriller	Uli Edel	Brad Mirman	Madonna, Michael Forest, Joe Mantegna, Charles Hallahan	A millionaire is found dead of heart failure handcuffed to the bed with a home video tape of him and his lover. When cocaine is found in his system, and his will leaves $8 million to his lover, they arrest her on suspicion of murder. Her lawyer succumbs to her charms, and he begins a torrid and kinky affair with her. As new evidence turns up during trial, he begins to wonder if he's defending a murderer.	English	Germany, USA	1 win & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU5MTIyMDI2Ml5BMl5BanBnXkFtZTcwNjIzMzMyMQ@@._V1_SX300.jpg	N/A	4.3	10481	tt0106453	6	rotten	2.7	34	2	32	N/A	22	2.4	8295	03 Dec 2002	N/A	MGM	N/A
94	Bodyguard	2011	N/A	31 Aug 2011	130 min	Romance	Siddique	J.P. Chowksey (screenplay), Kiran Kotrial (screenplay), Siddique	Salman Khan, Kareena Kapoor, Raj Babbar, Asrani	Reading from a diary, a lad comes to know about a nobleman from Jaisinghpur, Sartaj Rana, who invited the wrath of the Mhatre brothers, Ranjan and Vikrant, by sending Lovely Singh to free abducted women bound for Thailand. Feeling threatened, he hires Lovely as a bodyguard for his collegian daughter, Divya, and her friend, Maya. Divya does not appreciate being followed around by Lovely and creates a fictional woman, Chhaya, who distracts him by repeatedly phoning him and telling him that she loves him. Lovely believes this person to be real and falls in love. In a bar, Ranjan's brother attacks Divya and is killed by Lovely - setting into motion a chain of events that will pit Lovely not only against the enraged Mhatre brothers but also against Sartaj himself, who believes that Lovely is attempting to elope with his daughter.	Hindi, English	India	4 wins & 10 nominations.	http://ia.media-imdb.com/images/M/MV5BMTMyOTkzMzg4Ml5BMl5BanBnXkFtZTcwNTkxNzQzNg@@._V1_SX300.jpg	41	4.4	13389	tt1729637	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
95	The Bonfire of the Vanities	1990	R	21 Dec 1990	125 min	Comedy, Drama	Brian De Palma	Michael Cristofer (screenplay), Tom Wolfe (novel)	Tom Hanks, Bruce Willis, Melanie Griffith, Kim Cattrall	Financial 'Master of the Universe' Sherman McCoy sees his life unravel when his mistress Maria Ruskin hits a black boy with his car. When yellow journalist Peter Fallow enflames public opinion with a series of distorted tabloid articles on the accident, the case is seized upon by opportunists like Reverend Bacon and mayoral candidate D.A. Abe Weiss.	English	USA	5 nominations.	http://ia.media-imdb.com/images/M/MV5BMjE1NTk2Mjc5OF5BMl5BanBnXkFtZTcwMjE5MDYyMQ@@._V1_SX300.jpg	N/A	5.4	16354	tt0099165	16	rotten	3.9	50	8	42	N/A	27	2.6	11963	06 Nov 2001	N/A	Warner Home Video	N/A
96	Bonnie and Clyde	1967	APPROVED	13 Aug 1967	111 min	Biography, Crime, Drama	Arthur Penn	David Newman, Robert Benton	Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman	1934. Young adults Bonnie Parker, a waitress, and Clyde Barrow, a criminal just released from prison, are immediately attracted to what the other represents for their life when they meet by chance in West Dallas, Texas. Bonnie is fascinated with Clyde's criminal past, and his matter-of-factness and bravado in talking about it. Clyde sees in Bonnie someone sympatico to his goals in life. Although attracted to each other physically, a sexual relationship between the two has a few obstacles to happen. Regardless, they decide to join forces to embark on a life of crime, holding up whatever establishments, primarily banks, to make money and to have fun. They don't plan on hurting anyone physically or killing anyone despite wielding loaded guns. They amass a small gang of willing accomplices, including C.W. Moss, a mechanic to fix whatever cars they steal which is important especially for their getaways, and Buck Barrow, one of Clyde's older brothers. The only reluctant tag-along is Buck's nervous wife, Blanche Barrow, a preacher's daughter. The gang's life changes after the first fatal shot is fired. Following, their willingness to shoot to kill increases to protect themselves and their livelihood. Their notoriety precedes them, so much so that no matter what one's opinion is of them, most want to have some association to the Barrow gang, to help them, to be spoken in the same breath as them, or to capture and or kill them. Of the many people they encounter in their crime spree, the one who may have the most profound effect on their lives is Texas Ranger Frank Hamer, who is looking for a little retribution.	English	USA	Won 2 Oscars. Another 23 wins & 22 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQzNjI2NDY3MV5BMl5BanBnXkFtZTYwMjE1OTk4._V1_SX300.jpg	81	7.9	72016	tt0061418	90	certified	8.2	50	45	5	N/A	88	3.8	55489	05 May 2008	N/A	Warner Brothers/Seven Arts	N/A
97	Boogie Nights	1997	R	31 Oct 1997	155 min	Drama	Paul Thomas Anderson	Paul Thomas Anderson	Luis Guzmn, Burt Reynolds, Julianne Moore, Rico Bueno	Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting.	English	USA	Nominated for 3 Oscars. Another 32 wins & 31 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQxOTExODU2MF5BMl5BanBnXkFtZTcwMzc3MDE1OQ@@._V1_SX300.jpg	85	7.9	167110	tt0118749	92	certified	8.1	65	60	5	Grounded in strong characters, bold themes, and subtle storytelling, Boogie Nights is a groundbreaking film both for director P.T. Anderson and star Mark Wahlberg.	89	3.6	186718	07 Apr 1998	N/A	New Line Cinema	N/A
98	The Boondock Saints	1999	R	19 Nov 1999	108 min	Action, Crime, Thriller	Troy Duffy	Troy Duffy	Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco	Two Irish brothers accidentally killed mafia thugs. They turned themselves in and were released as heroes. They then see it as a calling by God and started knocking off mafia gang members one by one. Willem Dafoe plays the detective trying to figure out the killings, but the closer he was to catching the Irish brothers, the more he thinks the brothers are doing the right thing.	English, Spanish, Papiamento, Russian	Canada, USA	N/A	http://ia.media-imdb.com/images/M/MV5BMTIzODA2NTUyM15BMl5BanBnXkFtZTYwODQ2Mjk4._V1_SX300.jpg	44	7.9	185408	tt0144117	20	rotten	4.2	25	5	20	A juvenile, ugly movie that represents the worst tendencies of directors channeling Tarantino.	91	4.2	333741	21 May 2002	N/A	Indican	http://theboondocksaints.com/
99	Bottle Rocket	1996	R	21 Feb 1996	91 min	Comedy, Crime, Drama	Wes Anderson	Owen Wilson, Wes Anderson	Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler	Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hare-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry. With the help of their pathetic neighbor and pal Bob, Anthony and Dignan pull a job and hit the road, where Anthony finds love with motel maid Inez. When our boys finally hook up with Mr. Henry, the ensuing escapade turns out to be far from what anyone expected.	English, Spanish	USA	2 wins.	http://ia.media-imdb.com/images/M/MV5BMTI2NDY4Mzc1Nl5BMl5BanBnXkFtZTcwNzUyNDk5MQ@@._V1_SX300.jpg	65	7.1	47792	tt0115734	85	certified	6.8	65	55	10	N/A	80	3.7	60449	22 Dec 1998	N/A	Columbia Pictures	N/A
100	Bound	1996	R	04 Oct 1996	108 min	Crime, Drama, Romance	Andy Wachowski, Lana Wachowski	Andy Wachowski, Lana Wachowski	Jennifer Tilly, Gina Gershon, Joe Pantoliano, John P. Ryan	Corky, a lesbian ex con hired to work in an apartment as a plumber, meets neighbors Caesar, who launders money for the Mafia, and his girlfriend Violet. The two women have a love affair and decide to steal $2,000,000 that Caesar has in custody before he gives them back to Mafia boss Gino Marzone. Caesar is set up by the two scheming women as a scapegoat but things start to go wrong when he reacts in an unexpected way...	English	USA	8 wins & 10 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI0MjczOTYxNl5BMl5BanBnXkFtZTYwNjc0Mjk5._V1_SX300.jpg	61	7.4	37316	tt0115736	92	fresh	7.8	37	34	3	N/A	82	3.5	32877	19 Jun 2001	N/A	Republic Pictures Home Video	N/A
101	The Bourne Identity	2002	PG-13	14 Jun 2002	119 min	Action, Mystery, Thriller	Doug Liman	Tony Gilroy (screenplay), W. Blake Herron (screenplay), Robert Ludlum (novel)	Matt Damon, Franka Potente, Chris Cooper, Clive Owen	Based very loosely on Robert Ludlum's novel, the Bourne Identity is the story of a man whose wounded body is discovered by fishermen who nurse him back to health. He can remember nothing and begins to try to rebuild his memory based on clues such as the Swiss bank account, the number of which, is implanted in his hip. He soon realizes that he is being hunted and takes off with Marie on a search to find out who he is and why he is being hunted.	English, French, German, Dutch, Italian	USA, Germany, Czech Republic	3 wins & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ3MDA4MDIyN15BMl5BanBnXkFtZTYwOTg0Njk4._V1_SX300.jpg	68	7.9	347106	tt0258463	83	certified	7	185	154	31	Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.	93	3.9	961559	21 Jan 2003	$121.5M	Universal Pictures	http://www.thebourneidentity.com/
102	Braveheart	1995	R	24 May 1995	177 min	Action, Biography, Drama	Mel Gibson	Randall Wallace	James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo	William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce.	English, French, Latin, Scottish Gaelic	USA	Won 5 Oscars. Another 20 wins & 20 nominations.	http://ia.media-imdb.com/images/M/MV5BNjA4ODYxMDU3Nl5BMl5BanBnXkFtZTcwMzkzMTk3OA@@._V1_SX300.jpg	68	8.4	624274	tt0112573	78	certified	7.2	65	51	14	Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.	85	3.8	32704504	29 Aug 2000	N/A	Paramount Pictures	N/A
103	Breakdown	1997	R	02 May 1997	93 min	Action, Crime, Drama	Jonathan Mostow	Jonathan Mostow (story), Jonathan Mostow (screenplay), Sam Montgomery (screenplay)	Kurt Russell, J.T. Walsh, Kathleen Quinlan, M.C. Gainey	Jeff and Amy Taylor are moving to California and must drive across the country. When they find themselves stranded in the middle of a desert with hardly anyone or anything around, their trip comes to a sudden halt. Amy had taken a ride with a friendly trucker to a small diner to call for help, but after a long time, Jeff becomes worried. He finds that no one in the diner has seen or heard from his wife. When he finds the trucker who gave Amy the ride, the trucker swears he has never seen her. Now Jeff must attempt to find his wife, who has been kidnapped and is being held for ransom. But who can he trust?	English	USA	1 win & 2 nominations.	http://ia.media-imdb.com/images/M/MV5BNzIxMjk0OTQxMV5BMl5BanBnXkFtZTYwNzg2Mjc4._V1_SX300.jpg	73	6.9	35205	tt0118771	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
104	The Breakfast Club	1985	R	15 Feb 1985	97 min	Comedy, Drama	John Hughes	John Hughes	Emilio Estevez, Paul Gleason, Anthony Michael Hall, John Kapelos	They were five students with nothing in common, faced with spending a Saturday detention together in their high school library. At 7 a.m., they had nothing to say, but by 4 p.m., they had bared their souls to each other and become good friends. To the outside world they were simply a Brain, an Athlete, a Basket Case, a Princess, and a Criminal, but to each other, they would always be the Breakfast Club.	English	USA	N/A	http://ia.media-imdb.com/images/M/MV5BMzYyNTQ1Nzk2M15BMl5BanBnXkFtZTcwODk0NTQyMQ@@._V1_SX300.jpg	62	7.9	218312	tt0088847	89	certified	7.6	53	47	6	The Breakfast Club is a warm, insightful, and very funny look into the inner lives of teenagers.	92	3.9	552816	02 Sep 2003	N/A	Universal Pictures	N/A
105	Bridesmaids	2011	R	13 May 2011	125 min	Comedy, Romance	Paul Feig	Kristen Wiig, Annie Mumolo	Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi	Annie (Kristen Wiig), is a maid of honor whose life unravels as she leads her best friend, Lillian (Maya Rudolph), and a group of colorful bridesmaids (Rose Byrne, Melissa McCarthy, Wendi McLendon-Covey and Ellie Kemper) on a wild ride down the road to matrimony. Annie's life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian's maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she'll show Lillian and her bridesmaids just how far you'll go for someone you love.	English	USA	Nominated for 2 Oscars. Another 24 wins & 56 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAyOTMyMzUxNl5BMl5BanBnXkFtZTcwODI4MzE0NA@@._V1_SX300.jpg	75	6.8	191446	tt1478338	90	certified	7.6	251	225	26	A marriage of genuine characters, gross out gags, and pathos, Bridesmaids is a female-driven comedy that refuses to be boxed in as Kristen Wiig emerges as a real star.	76	3.9	158421	20 Sep 2011	$169.1M	Universal Studios	http://www.bridesmaidsmovie.com/
106	Bringing Out the Dead	1999	R	22 Oct 1999	121 min	Comedy, Drama, Thriller	Martin Scorsese	Joe Connelly (novel), Paul Schrader (screenplay)	Nicolas Cage, Patricia Arquette, John Goodman, Ving Rhames	An Easter story. Frank is a Manhattan medic, working graveyard in a two-man ambulance team. He's burned out, exhausted, seeing ghosts, especially a young woman he failed to save six months' before, and no longer able to save people: he brings in the dead. We follow him for three nights, each with a different partner: Larry, who thinks about dinner, Marcus, who looks to Jesus, and Tom, who wallops people when work is slow. Frank befriends the daughter of a heart victim he brings in; she's Mary, an ex-junkie, angry at her father but now hoping he'll live. Frank tries to get fired, tries to quit, and keeps coming back, to work and to Mary, in need of his own rebirth.	English	USA	2 wins & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQ4MjgzMDc1Nl5BMl5BanBnXkFtZTYwOTc5ODk4._V1_SX300.jpg	70	6.8	49574	tt0163988	71	certified	6.7	105	75	30	Stunning and compelling, Scorsese and Cage succeed at satisfying the audience.	71	3.2	38251	09 May 2000	N/A	Paramount Pictures	http://www.bringingoutthedead.com
107	Broadcast News	1987	R	25 Dec 1987	133 min	Comedy, Drama, Romance	James L. Brooks	James L. Brooks	William Hurt, Albert Brooks, Holly Hunter, Robert Prosky	Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.	English	USA	Nominated for 7 Oscars. Another 18 wins & 11 nominations.	http://ia.media-imdb.com/images/M/MV5BMTkxODk0NzExOF5BMl5BanBnXkFtZTcwMjQyODQyNA@@._V1_SX300.jpg	84	7.2	19150	tt0092699	98	certified	8.1	41	40	1	N/A	78	3.6	10353	05 Oct 1999	N/A	Twentieth Century Fox Home Entertainment	N/A
108	Bruce Almighty	2003	PG-13	23 May 2003	101 min	Comedy, Drama, Fantasy	Tom Shadyac	Steve Koren (story), Mark O'Keefe (story), Steve Koren (screenplay), Mark O'Keefe (screenplay), Steve Oedekerk (screenplay)	Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall	Bruce Nolan, a television reporter in Buffalo, N.Y., is discontented with almost everything in life despite his popularity and the love of his girlfriend Grace . At the end of the worst day of his life, Bruce angrily ridicules and rages against God and God responds. God appears in human form and, endowing Bruce with divine powers, challenges Bruce to take on the big job to see if he can do it any better.	English	USA	7 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1_SX300.jpg	46	6.7	257643	tt0315327	48	rotten	5.6	184	89	95	Carrey is hilarious in the slapstick scenes, but Bruce Almighty gets bogged down in treacle.	57	3.3	33021281	25 Nov 2003	$242.6M	Universal Pictures	http://www.brucealmighty.com/
109	Buffy the Vampire Slayer	1992	PG-13	31 Jul 1992	86 min	Action, Comedy, Fantasy	Fran Rubel Kuzui	Joss Whedon	Kristy Swanson, Donald Sutherland, Paul Reubens, Rutger Hauer	Buffy Summers has the lifestyle any young woman could want. Cheerleading, dating the captain of the basketball team, and copious amounts of time spent shopping with friends. She had no idea of her true calling until a mysterious man named Merrick approached her and told her that she is the Slayer; one woman called to defend the world from vampires. Reluctant to concede to the fact, Buffy soon learns that Merrick speaks the truth and so begins to take her new life seriously while trying to maintain the sense of normality her life had once been. With her best friends slowly abandoning her, Buffy finds solace in the town outcast, Pike, who knows very well the terrors that have arisen. Together, they combat the forces of the old and powerful vampire, Lothos, who has his eyes set on Buffy.	English	USA	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTIxMTkyNTc2MF5BMl5BanBnXkFtZTcwMDQ4ODAwMQ@@._V1_SX300.jpg	48	5.5	29272	tt0103893	35	rotten	4.2	37	13	24	N/A	43	2.8	334722	04 Sep 2001	N/A	20th Century Fox	N/A
110	Bull Durham	1988	R	15 Jun 1988	108 min	Comedy, Romance, Sport	Ron Shelton	Ron Shelton	Kevin Costner, Susan Sarandon, Tim Robbins, Trey Wilson	Crash is an aging minor league ball player, brought up from another team to mature a young pitcher with maturity problems. Both of them become involved with Ann, a baseball groupie with her own perspective on the game.	English	USA	Nominated for 1 Oscar. Another 8 wins & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTc2ODkyOTQ2M15BMl5BanBnXkFtZTcwNTQ2NjgyNA@@._V1_SX300.jpg	73	7.1	33018	tt0094812	97	certified	7.9	62	60	2	Kevin Costner at his funniest and most charismatic in Bull Durham, a film that's as wise about relationships as it is about minor league baseball.	83	3.4	50279	28 Oct 1998	N/A	Orion Pictures	N/A
